#HBC,name, Vmag,B-V,U-B,U-V,(U-V)KH,ExcU,vsini,Sp,SpT,EW,EWHaBa  ,ExcEW,ExcExp,type,,,,,,
143,ALOri,14.99,1.27,0.14,1.41,2.43,1.02,nan,K7,57,68,3.26,64.74,61.4,tt,5,35,30.92,-4,55,17.7
144,V360Ori,12.61,1.38,0.66,2.04,2.64,0.6,nan,K6,56,34,2.66,31.34,28.1,tt,5,35,31.9,-5,9,28
146,AMOri,14.08,0.88,-0.52,0.36,1.51,1.15,nan,K4,54,84,1.76,82.24,79.6,tt,5,35,35.22,-5,21,27.4
149,BOOri,14.1,1.2,0.39,1.59,2.3,0.71,nan,K4,54,34,1.76,32.24,29.6,tt,5,35,43.14,-4,24,56
152,CEOri,15.65,0.64,-0.53,0.11,0.79,0.68,nan,K5,55,74,2.16,71.84,68.9,tt,5,35,48.32,-5,1,29.1
153,OTOri,14.68,1.68,0.18,1.86,2.97,1.11,nan,K5,55,18,2.16,15.84,12.9,tt,5,35,50.71,-5,16,29.4
155,AROri,13.84,1.13,0.38,1.51,2.15,0.64,nan,K7,57,29,3.26,25.74,22.4,tt,5,35,54.08,-5,4,15
157,AUOri,16.09,1.49,0.29,1.78,2.75,0.97,nan,K7,57,106,3.26,102.74,99.4,tt,5,35,57.66,-5,57,18.9
158,V577Ori,13.98,1.49,0.08,1.57,2.75,1.18,nan,K7,57,36,3.26,32.74,29.4,tt,5,35,57.42,-6,42,41.2
159,AVOri,13.98,1.28,0.31,1.59,2.45,0.86,nan,K4,54,36,1.76,34.24,31.6,tt,5,36,0.13,-6,42,33.2
168,BEOri,14.16,2.19,0.14,2.33,4.06,1.73,nan,K0,50,68,0.77,67.23,64.1,tt,5,36,59.82,-6,33,26.3
172,TXOri,13.71,1.37,1.13,2.5,2.63,0.13,10,K4,54,17,1.76,15.24,12.6,tt,5,38,33.71,-2,44,15.7
174,Haro7-1,13.15,1.17,0.59,1.76,2.24,0.48,nan,K5,55,36,2.16,33.84,30.9,tt,5,38,35.19,-7,50,19.7
179,Haro7-4,13.79,1.39,0.62,2.01,2.65,0.64,nan,K3,53,40,1.43,38.57,35.9,tt,5,40,24.95,-8,7,32.9
180,V614Ori,13.96,1.33,0.57,1.9,2.56,0.66,nan,K6,56,17,2.66,14.34,11.1,tt,5,41,35.59,9,7,50.8
181,DLOri,13.07,0.77,-0.49,0.28,1.1,0.82,nan,K1,51,42,0.95,41.05,38.1,tt,5,41,25.35,-8,5,54.3
183,V625Ori,13.14,1.01,0.08,1.09,1.89,0.8,nan,K6,56,32,2.66,29.34,26.1,tt,5,43,20.89,9,6,6.9
188,LkH@334,13.6,1.21,0.26,1.47,2.32,0.85,nan,K4,54,23,1.76,21.24,18.6,tt,5,53,40.94,1,38,14.3
189,LkH@335,13.77,1,-0.39,0.61,1.87,1.26,nan,K4,54,47,1.76,45.24,42.6,tt,5,53,58.66,1,44,10
190,LkH@336,14.39,1.39,0.58,1.97,2.65,0.68,nan,K7,57,24,3.26,20.74,17.4,tt,5,54,20.12,1,42,52.9
