#HBC,name, Vmag,B-V,U-B,U-V,(U-V)KH,ExcU,vsini,Sp,SpT,EW,EWHaBa  ,ExcEW,ExcExp,type,,,,,,
604,Sz81,15.61,1.19,0.74,1.93,2.29,0.36,nan,M5.5,65.5,36,18.73,17.27,11.9,tt,15,55,50.24,-38,1,33.1
605,Sz82,11.89,1.33,1.12,2.45,2.59,0.14,15,M0,60,7,6.04,0.96,-1.7,tt,15,56,9.23,-37,56,5.9
610,Sz130,14.52,1.22,-0.15,1.07,2.35,1.28,nan,M1.5,61.5,53,8.23,44.77,41.8,tt,16,0,31.11,-41,43,39.8
253,EXLup,13.13,1.2,-0.12,1.08,2.31,1.23,nan,M0:,60,43,6.04,36.96,34.3,tt,16,3,5.52,-40,18,24.9
612,HOLup,12.93,0.7,-0.47,0.23,0.93,0.7,nan,M1,61,220,7.42,212.58,209.9,tt,16,7,0.61,-39,2,19.9
615,Sz96,14.06,1.48,0.91,2.39,2.74,0.35,nan,M1.5,61.5,11,8.23,2.77,-0.2,tt,16,8,12.62,-39,8,33.3
621,Sz110,14.89,1.01,-0.67,0.34,1.93,1.59,nan,M1:,61,60,7.42,52.58,49.9,tt,16,8,51.55,-39,3,17.8
624,Sz134,13.88,0.61,-0.52,0.09,0.67,0.58,nan,M4,64,90,13.76,76.24,75.3,tt,16,9,12.21,-41,40,24.6
625,Sz116,13.8,1.46,1.08,2.54,2.71,0.17,nan,M1,61,3.9,7.42,-3.52,-6.2,nan,16,9,42.61,-39,19,41.5
628,Sz122,14.37,1.47,1.08,2.55,2.72,0.17,nan,M3,63,6.1,11.2,-5.1,-6.1,tt,16,10,16.44,-39,8,5.4
629,Sz123,15.08,1.15,-0.89,0.26,2.2,1.94,nan,M2,62,251,9.12,241.88,239.8,tt,16,10,51.48,-38,53,14.1
263,SR12,13.27,1.55,1.02,2.57,2.82,0.25,21,"M1,2",61.5,4,8.23,-4.23,-7.2,nan,16,27,19.55,-24,41,40.2
265,SR10,14.01,0.98,-0.39,0.59,1.84,1.25,nan,M1.5,61.5,42,8.23,33.77,30.8,tt,16,27,55.63,-24,26,16.4
266,V853Pph,13.52,1.12,-0.37,0.75,2.13,1.38,nan,M1.5,61.5,41,8.23,32.77,29.8,tt,16,28,45.33,-24,28,16.9
351,noname,12.26,1.13,0.85,1.98,2.15,0.17,29,K5,55,1.6,2.16,-0.56,-3.5,wt,3,52,2.27,24,39,51.4
357,noname,12.91,1.05,0.67,1.72,1.96,0.24,75,K2,52,1.8,1.17,0.63,-2.2,wt,4,3,14.05,25,52,59.5
367,V773Tau,10.62,1.38,1.12,2.5,2.64,0.14,nan,K3,52,4,1.17,2.83,0,wt,4,14,12.92,28,12,13.5
370,LkCa4,12.54,1.45,1.22,2.67,2.7,0.03,26,K7,57,5,3.26,1.74,-1.6,wt,4,16,28.11,28,7,36.5
29,V410Tau,10.82,1.21,0.94,2.15,2.33,0.18,73,K3,53,3,1.43,1.57,-1.1,wt,4,18,31.1,28,27,17.2
374,Hubble4,12.73,1.68,1.2,2.88,3.01,0.13,13,K7,57,3,3.26,-0.26,-3.6,wt,4,18,47.02,28,20,8.4
376,noname,12.28,1.14,0.88,2.02,2.17,0.15,68,K7,57,0.7,3.26,-2.56,-5.9,wt,4,18,51.63,17,23,14.7
378,V819Tau,13.24,1.57,1.31,2.88,2.85,-0.03,15,K7,57,1.7,3.26,-1.56,-4.9,wt,4,19,26.23,28,26,14.5
379,LkCa7,12.37,1.39,1.12,2.51,2.65,0.14,10,"K7,M0",58,4,4.01,-0.01,-3.2,wt,4,19,41.28,27,49,39
43,UXTauA,10.69,1.03,0.67,1.7,1.92,0.22,26,K2,52,3.9,1.17,2.73,-0.1,wt,4,30,3.92,18,13,50.1
392,noname,12.53,1.18,1.03,2.21,2.26,0.05,17,K5,55,0.2,2.16,-1.96,-4.9,wt,4,31,27.18,17,6,25.5
397,L1551-51,12.06,1.23,1.01,2.24,2.36,0.12,27,K7,57,0.5,3.26,-2.76,-6.1,wt,4,32,9.28,17,57,23.3
399,V827Tau,12.18,1.4,1.12,2.52,2.65,0.13,18,"K7,M0",58,1.8,4.01,-2.21,-5.4,wt,4,32,14.56,18,20,15
400,V826Tau,12.11,1.4,1.12,2.52,2.65,0.13,10,"K7,M0",58,1.6,4.01,-2.41,-5.6,wt,4,32,15.83,18,1,38.8
493,L1551-55,13.22,1.51,1.36,2.87,2.78,-0.09,10,K7,57,0.7,3.26,-2.56,-5.9,wt,4,32,43.84,18,2,58.3
405,V830Tau,12.21,1.37,1.09,2.46,2.63,0.17,29,"K7,M0",58,3,4.01,-1.01,-4.2,wt,4,33,10.23,24,33,43.5
409,FFTau,13.67,2.06,1.68,3.74,3.49,-0.25,nan,"K7,M0",58,1.4,4.01,-2.61,-5.8,wt,4,35,20.86,22,54,24.7
419,LkCa15,12.09,1.32,0.79,2.11,2.54,0.43,13,K5,55,13,2.16,10.84,7.9,wt,4,39,17.8,22,21,4.5
420,IWTau,12.52,1.51,1.21,2.72,2.78,0.06,11,K7,57,4,3.26,0.74,-2.6,wt,4,41,4.68,24,51,6.4
426,LkCa19,10.85,1.02,0.62,1.64,1.9,0.26,19,K0,50,1,0.77,0.23,-2.9,wt,4,55,37.01,30,17,55.3
427,noname,11.6,1.27,1.09,2.36,2.43,0.07,10,K7,57,0.7,3.26,-2.56,-5.9,wt,4,56,2.21,30,21,2.7
429,V836Tau,13.13,1.53,1.18,2.71,2.8,0.09,nan,"K7,M0",58,9,4.01,4.99,1.8,wt,5,3,6.59,25,23,19.6
358,nan,14.52,1.47,0.84,2.31,2.73,0.42,nan,M2,62,7.8,9.12,-1.32,-3.4,wt,4,3,49.17,26,10,54.3
359,nan,14.17,1.4,0.89,2.29,2.65,0.36,10,M2,62,2.4,9.12,-6.72,-8.8,wt,4,3,50.87,26,10,55.2
360,nan,14.97,1.57,0.74,2.31,2.85,0.54,nan,M3,63,7.6,11.2,-3.6,-4.6,wt,4,4,39.29,21,58,20
361,nan,15.09,1.52,1.58,3.1,2.79,-0.31,20,M3,63,5.7,11.2,-5.5,-6.5,wt,4,4,39.79,21,58,22
362,nan,14.67,1.37,0.88,2.25,2.63,0.38,14,M2,62,4,9.12,-5.12,-7.2,wt,4,5,30.9,21,51,10.7
365,LkCa1,13.72,1.49,1.04,2.53,2.75,0.22,23,M4,64,4,13.76,-9.76,-10.7,wt,4,13,14.18,28,19,11.4
371,LkCa5,13.56,1.51,1.37,2.88,2.78,-0.1,38,M2,62,4,9.12,-5.12,-7.2,wt,4,17,38.96,28,33,1.5
39,DITau,12.86,1.6,1.5,3.1,2.9,-0.2,11,M0,60,2,6.04,-4.04,-6.7,wt,4,29,42.4,26,32,51
42,UXTau,13.67,1.45,1.2,2.65,2.7,0.05,nan,M1,61,4,7.42,-3.42,-6.1,wt,4,30,3.52,18,13,50.1
412,nan,14.12,1.56,0.99,2.55,2.84,0.29,30,M2,62,9,9.12,-0.12,-2.2,wt,4,35,24.11,17,51,41.5
