#HBC,name,Vmag,B-V,U-B,U-V,(U-V)KH,Exc(U),vsini,Sp,EW(Ba),EW,ExcEW,type,_RA.icrs,_DE.icrs,,,SpT(Li),,
556,PH@21,16.3,1.35,-0.25,1.1,2.61,1.51,nan,M4,13.76,48,34.24,tt,8,10,30.81,-36,1,48,64
564,SXCha,14.65,1.23,0.34,1.57,2.36,0.79,nan,M0.5,6.7,21,14.3,tt,10,56,1.13,-77,24,39,60.5
565,SYCha,13.03,1.29,0.36,1.65,2.5,0.85,nan,M0:,6.04,49,42.96,tt,10,56,31.96,-77,11,38.6,60
567,TWCha,13.08,0.85,-0.16,0.69,1.44,0.75,15,M0:,6.04,26,19.96,tt,10,59,2.56,-77,22,40.6,60
572,Sz18,15.35,1.7,0.75,2.45,2.98,0.53,nan,"M2,3",10.11,12,1.89,tt,11,7,20.3,-76,3,2.4,62.5
573,VVCha,14.8,1.26,-0.28,0.98,2.42,1.44,nan,M1.5,8.23,88,79.77,tt,11,7,29.57,-76,52,10.6,61.5
574,Sz21,15.34,1.71,0.46,2.17,2.99,0.82,nan,M0.5,6.7,94,87.3,tt,11,7,44.95,-77,39,40.9,60.5
582,GK-1,14.34,0.84,0.55,1.39,1.39,0,nan,M0,6.04,8.1,2.06,nan,11,10,6.07,-76,35,43.2,60
585,WZCha,15.26,0.81,-0.85,-0.04,1.22,1.26,nan,M1,7.42,313,305.58,tt,11,10,54.51,-76,34,30.9,61
586,XXCha,15.28,1.39,-0.19,1.2,2.65,1.45,nan,M2,9.12,87,77.88,tt,11,11,40.86,-76,20,12.6,62
590,HM32,13.5,1.44,0.52,1.96,2.68,0.72,nan,M0.5,6.7,32,25.3,tt,11,17,38.15,-77,4,36.8,60.5
249,GWLup,13.83,1.24,-0.11,1.13,2.38,1.25,nan,M1.5,8.23,90,81.77,tt,15,46,44.68,-34,30,35.4,61.5
599,HMLup,14.84,1.12,-0.6,0.52,2.13,1.61,nan,M4,13.76,155,141.24,tt,15,47,50.7,-35,28,35.4,64
601,HNLup,14.18,1.55,0.22,1.77,2.82,1.05,nan,M1.5,8.23,50,41.77,tt,15,48,5.22,-35,15,52.6,61.5
603,Sz77,12.5,1.3,0.78,2.08,2.53,0.45,15,M0,6.04,17,10.96,tt,15,51,46.95,-35,56,45,60
604,Sz81,15.61,1.19,0.74,1.93,2.29,0.36,nan,M5.5,18.73,36,17.27,tt,15,55,50.24,-38,1,33.1,65.5
605,Sz82,11.89,1.33,1.12,2.45,2.59,0.14,15,M0,6.04,7,0.96,tt,15,56,9.23,-37,56,5.9,60
607,Sz128,14.63,1.49,0.69,2.18,2.75,0.57,nan,M1,7.42,10,2.58,nan,15,58,7.43,-41,51,47.8,61
610,Sz130,14.52,1.22,-0.15,1.07,2.35,1.28,nan,M1.5,8.23,53,44.77,tt,16,0,31.11,-41,43,39.8,61.5
253,EXLup,13.13,1.2,-0.12,1.08,2.31,1.23,nan,M0:,6.04,43,36.96,tt,16,3,5.52,-40,18,24.9,60
612,HOLup,12.93,0.7,-0.47,0.23,0.93,0.7,nan,M1,7.42,220,212.58,tt,16,7,0.61,-39,2,19.9,61
615,Sz96,14.06,1.48,0.91,2.39,2.74,0.35,nan,M1.5,8.23,11,2.77,tt,16,8,12.62,-39,8,33.3,61.5
#620,Sz108,13.14,1.48,1.28,2.76,2.74,-0.02,nan,M0.5,6.7,0.5,-6.2,nan,16,8,42.72,-39,6,18.4,60.5
621,Sz110,14.89,1.01,-0.67,0.34,1.93,1.59,nan,M1:,7.42,60,52.58,tt,16,8,51.55,-39,3,17.8,61
624,Sz134,13.88,0.61,-0.52,0.09,0.67,0.58,nan,M4,13.76,90,76.24,tt,16,9,12.21,-41,40,24.6,64
625,Sz116,13.8,1.46,1.08,2.54,2.71,0.17,nan,M1,7.42,3.9,-3.52,nan,16,9,42.61,-39,19,41.5,61
628,Sz122,14.37,1.47,1.08,2.55,2.72,0.17,nan,M3,11.2,6.1,-5.1,tt,16,10,16.44,-39,8,5.4,63
629,Sz123,15.08,1.15,-0.89,0.26,2.2,1.94,nan,M2,9.12,251,241.88,tt,16,10,51.48,-38,53,14.1,62
#631,Sz124,13.83,1.48,1.27,2.75,2.74,-0.01,nan,M0,6.04,1.6,-4.44,nan,16,11,53.35,-39,2,16.1,60
263,SR12,13.27,1.55,1.02,2.57,2.82,0.25,21,"M1,2",8.23,4,-4.23,nan,16,27,19.55,-24,41,40.2,61.5
265,SR10,14.01,0.98,-0.39,0.59,1.84,1.25,nan,M1.5,8.23,42,33.77,tt,16,27,55.63,-24,26,16.4,61.5
266,V853Pph,13.52,1.12,-0.37,0.75,2.13,1.38,nan,M1.5,8.23,41,32.77,tt,16,28,45.33,-24,28,16.9,61.5
647,DoAr51,13.59,1.9,1.43,3.33,3.15,-0.18,8,M0:,6.04,7,0.96,nan,16,32,11.87,-24,40,17.2,60
